wpp,file,SexID,Sex
2004,Life_Table,1,Male
2004,Life_Table,2,Female
2004,Life_Table,3,Total
2006,Life_Table,1,Male
2006,Life_Table,2,Female
2006,Life_Table,3,Total
2008,Life_Table,1,Male
2008,Life_Table,2,Female
2008,Life_Table,3,Total
2010,Life_Table,1,Male
2010,Life_Table,2,Female
2010,Life_Table,3,Total
2012,Life_Table,1,Male
2012,Life_Table,2,Female
2012,Life_Table,3,Total
2015,Life_Table,1,Male
2015,Life_Table,2,Female
2015,Life_Table,3,Total
2017,Life_Table,1,Male
2017,Life_Table,2,Female
2017,Life_Table,3,Total
2019,Life_Table_Medium,1,Male
2019,Life_Table_Medium,2,Female
2019,Life_Table_Medium,3,Total
2019,Life_Table_OtherVariants,1,Male
2019,Life_Table_OtherVariants,2,Female
2019,Life_Table_OtherVariants,3,Total
